"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Kasemsap K.","Kasemsap, Kijpokin (56926697100)","56926697100","The role of social entrepreneurship in the global business environments","2015","Incorporating Business Models and Strategies into Social Entrepreneurship","","","","177","201","24","3","10.4018/978-1-4666-8748-6.ch011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957937653&doi=10.4018%2f978-1-4666-8748-6.ch011&partnerID=40&md5=50a22de893b54c80b57f3180563408c8","Book chapter","Final","","Scopus","2-s2.0-84957937653"
"Hazelkorn E.","Hazelkorn, Ellen (24176901400)","24176901400","Rankings and the Reshaping of Higher Education: The Battle for World-Class Excellence: Second Edition","2015","Rankings and the Reshaping of Higher Education: The Battle for World-Class Excellence: Second Edition","","","","1","304","303","353","10.1057/9781137446671","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995407445&doi=10.1057%2f9781137446671&partnerID=40&md5=1e05a1aaf3073311385ebf11603f036e","Book","Final","","Scopus","2-s2.0-84995407445"
"Sidiropoulos L.","Sidiropoulos, Liz (55949581700)","55949581700","Navigating the journey to sustainability: The case for embedding sustainability literacy into all tertiary education business programs","2011","International Journal of Environmental, Cultural, Economic and Social Sustainability","7","3","","247","273","26","2","10.18848/1832-2077/cgp/v07i03/54940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053075925&doi=10.18848%2f1832-2077%2fcgp%2fv07i03%2f54940&partnerID=40&md5=776eb70da8b810ce6141bbb31c65171f","Article","Final","","Scopus","2-s2.0-80053075925"
"Rogowski R.","Rogowski, Ralf (24074498600)","24074498600","Reflexive Labour Law in the World Society","2013","Reflexive Labour Law in the World Society","","","","1","335","334","43","10.4337/9780857936592","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906887035&doi=10.4337%2f9780857936592&partnerID=40&md5=0fc4bcbef2f12464e6be0cf667d2182a","Book","Final","","Scopus","2-s2.0-84906887035"
"Hazelkorn E.","Hazelkorn, Ellen (24176901400)","24176901400","Rankings and the reshaping of higher education: The battle for world-class excellence","2011","Rankings and the Reshaping of Higher Education: The Battle for World-Class Excellence","","","","1","259","258","460","10.1057/9780230306394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013722312&doi=10.1057%2f9780230306394&partnerID=40&md5=89ca0741a914e4b32347a6febdd8b12a","Book","Final","","Scopus","2-s2.0-85013722312"
"Hazelkorn E.","Hazelkorn, Ellen (24176901400)","24176901400","Rankings and the reshaping of higher education: The battle for world-class excellence, 2nd edition","2015","Rankings and the Reshaping of Higher Education: The Battle for World-Class Excellence, 2nd edition","","","","1","304","303","53","10.1057/9781137446671","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960196931&doi=10.1057%2f9781137446671&partnerID=40&md5=2ce97cc1b61e10b4f6eaa2df53aa9bfa","Book","Final","","Scopus","2-s2.0-84960196931"
"Münch R.","Münch, Richard (7005076388)","7005076388","Inclusion and exclusion in the liberal competition state: The cult of the individual","2012","Inclusion and Exclusion in the Liberal Competition State: The Cult of the Individual","","","","1","308","307","12","10.4324/9780203144848","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916947769&doi=10.4324%2f9780203144848&partnerID=40&md5=f1b140826681be7237f80dd6eb53d1ba","Book","Final","","Scopus","2-s2.0-84916947769"
"Howlett M.","Howlett, Michael (7004315057)","7004315057","Designing public policies: Principles and instruments","2010","Designing Public Policies: Principles and Instruments","","","","1","236","235","405","10.4324/9780203838631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911051613&doi=10.4324%2f9780203838631&partnerID=40&md5=640f599959f46ca6371115205bb75e89","Book","Final","","Scopus","2-s2.0-84911051613"
"Nicholls A.; Huybrechts B.","Nicholls, Alex (7103021940); Huybrechts, Benjamin (24483393900)","7103021940; 24483393900","Sustaining Inter-organizational Relationships Across Institutional Logics and Power Asymmetries: The Case of Fair Trade","2016","Journal of Business Ethics","135","4","","699","714","15","68","10.1007/s10551-014-2495-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916900273&doi=10.1007%2fs10551-014-2495-y&partnerID=40&md5=ce1ebbd220d269012d9f5e60d6f395f8","Article","Final","","Scopus","2-s2.0-84916900273"
"Walls J.L.; Hoffman A.J.","Walls, Judith L. (36997571700); Hoffman, Andrew J. (56260411400)","36997571700; 56260411400","Exceptional boards: Environmental experience and positive deviance from institutional norms","2013","Journal of Organizational Behavior","34","2","","253","271","18","109","10.1002/job.1813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872406550&doi=10.1002%2fjob.1813&partnerID=40&md5=d8eff7cc118a404f264b8c876cf7acf3","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84872406550"
"Godin B.","Godin, Benoît (6603946609)","6603946609","Innovation contested: The idea of innovation over the centuries","2015","Innovation Contested: The Idea of Innovation Over the Centuries","","","","1","353","352","188","10.4324/9781315855608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967076076&doi=10.4324%2f9781315855608&partnerID=40&md5=c405f7b657f67e825b4b8031625c406b","Book","Final","","Scopus","2-s2.0-84967076076"
"Mascarenhas O.A.J.","Mascarenhas, Oswald A. J. (6603141619)","6603141619","Business transformation strategies: The strategic leader as innovation manager","2011","Business Transformation Strategies: The Strategic Leader as Innovation Manager","","","","1","658","657","11","10.4135/9781446270264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950255028&doi=10.4135%2f9781446270264&partnerID=40&md5=6ef518d73dbbd49797c80fa73fc2b781","Book","Final","","Scopus","2-s2.0-84950255028"
"Doherty B.; Foster G.; Mason C.; Meehan J.; Meehan K.; Rotheroe N.; Royce M.","Doherty, Bob (8530410600); Foster, George (57213248136); Mason, Chris (36847335000); Meehan, John (57220565003); Meehan, Karon (7006980487); Rotheroe, Neil (6508263122); Royce, Maureen (24822221600)","8530410600; 57213248136; 36847335000; 57220565003; 7006980487; 6508263122; 24822221600","Management for social enterprise","2009","Management for Social Enterprise","","","","1","246","245","59","10.4135/9781446269404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949749422&doi=10.4135%2f9781446269404&partnerID=40&md5=da7c3c3d82b892917a36cfe13e61a8a4","Book","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84949749422"
"Wankel C.","Wankel, Charles (6505840725)","6505840725","21st century management: A reference handbook","2008","21st Century Management: A Reference Handbook","","","","1","579","578","14","10.4135/9781412954006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950283955&doi=10.4135%2f9781412954006&partnerID=40&md5=e592fc35fd66b40157b766c9591f5b97","Book","Final","","Scopus","2-s2.0-84950283955"
"Adshead M.; Millar M.","Adshead, Maura (6603099045); Millar, Michelle (7102417520)","6603099045; 7102417520","Public administration and public policy in Ireland: Theory and methods","2003","Public Administration and Public Policy in Ireland: Theory and Methods","","","","1","258","257","8","10.4324/9780203403242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906210905&doi=10.4324%2f9780203403242&partnerID=40&md5=7682c0ebfab50a3999e1d82a0bd798dc","Book","Final","","Scopus","2-s2.0-84906210905"
"Hechavarria D.M.; Ingram A.E.","Hechavarria, Diana M. (34871999400); Ingram, Amy E. (14043495400)","34871999400; 14043495400","The entrepreneurial gender divide: Hegemonic masculinity, emphasized femininity and organizational forms","2016","International Journal of Gender and Entrepreneurship","8","3","","242","281","39","45","10.1108/IJGE-09-2014-0029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988530042&doi=10.1108%2fIJGE-09-2014-0029&partnerID=40&md5=d3cbc6484019d651a9d7f0dea3493727","Article","Final","","Scopus","2-s2.0-84988530042"
"Kayed R.N.; Hassan M.K.","Kayed, Rasem N. (37055927000); Hassan, M. Kabir (58076530500)","37055927000; 58076530500","Islamic entrepreneurship","2013","Islamic Entrepreneurship","","","","1","377","376","7","10.4324/9780203840801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909294294&doi=10.4324%2f9780203840801&partnerID=40&md5=5842a6ba3d71207b4927b14c0ee3ce7a","Book","Final","","Scopus","2-s2.0-84909294294"
"Gil-Garcia J.R.; Pardo T.A.; Nam T.","Gil-Garcia, J. Ramon (57194992646); Pardo, Theresa A. (6701555328); Nam, Taewoo (18134279100)","57194992646; 6701555328; 18134279100","What makes a city smart? Identifying core components and proposing an integrative and comprehensive conceptualization","2015","Information Polity","20","1","","61","87","26","253","10.3233/IP-150354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942771967&doi=10.3233%2fIP-150354&partnerID=40&md5=93147ccfc4f83c69ea6d40fc8cc9259a","Article","Final","","Scopus","2-s2.0-84942771967"
"Ó Riain S.","Ó Riain, Seán (6508241942)","6508241942","The rise and fall of Ireland’s celtic tiger: Liberalism, boom and bust","2013","The Rise and Fall of Ireland's Celtic Tiger: Liberalism, Boom and Bust","","","","1","312","311","56","10.1017/CBO9780511842535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928364483&doi=10.1017%2fCBO9780511842535&partnerID=40&md5=f49e30e878633ee0b80c33ff23dd04b9","Book","Final","","Scopus","2-s2.0-84928364483"
"Siegel D.J.","Siegel, David J. (13805797000)","13805797000","Organizing for social partnership: Higher education in cross-sector collaboration","2010","Organizing for Social Partnership: Higher Education in Cross-Sector Collaboration","","","","1","216","215","18","10.4324/9780203859384","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911129890&doi=10.4324%2f9780203859384&partnerID=40&md5=749cd4e5c537ffb3eacf6e16029d45c4","Book","Final","","Scopus","2-s2.0-84911129890"
"Ansell C.","Ansell, Christopher (7003649878)","7003649878","Pragmatist Democracy: Evolutionary Learning as Public Philosophy","2012","Pragmatist Democracy: Evolutionary Learning as Public Philosophy","","","","1","296","295","248","10.1093/acprof:oso/9780199772438.001.0001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922286114&doi=10.1093%2facprof%3aoso%2f9780199772438.001.0001&partnerID=40&md5=7c2a05bddac16dd4a874aa8da2aa433e","Book","Final","","Scopus","2-s2.0-84922286114"
"Hall B.L.; Etmanski C.; Dawson T.","Hall, Budd L. (7401720512); Etmanski, Catherine (55792854500); Dawson, Teresa (57189264031)","7401720512; 55792854500; 57189264031","Conclusion: Walking on thin ice: Tensions and challenges in CBR","2014","Learning and Teaching Community-Based Research: Linking Pedagogy to Practice","","","","331","339","8","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967145278&partnerID=40&md5=3181b84afe38b13d6f9187f2b8b45cb3","Book chapter","Final","","Scopus","2-s2.0-84967145278"
"Picciotto S.","Picciotto, Sol (6603172145)","6603172145","Regulating global corporate capitalism","2011","Regulating Global Corporate Capitalism","","","","1","571","570","107","10.1017/CBO9780511792625","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924750579&doi=10.1017%2fCBO9780511792625&partnerID=40&md5=1c4e69be3108c7e32207b0fea3ef4756","Book","Final","","Scopus","2-s2.0-84924750579"
"Ruef M.","Ruef, Martin (6603686086)","6603686086","The entrepreneurial group: Social identities, relations, and collective action","2010","The Entrepreneurial Group: Social Identities, Relations, and Collective Action","","","","1","288","287","110","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924118197&partnerID=40&md5=c261723312f50d7e42d3170dab09d45a","Book","Final","","Scopus","2-s2.0-84924118197"
