"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Dressler M.","Dressler, Marc (55574498900)","55574498900","Sustainable Business Model Design: A Multi-Case Approach Exploring Generic Strategies and Dynamic Capabilities on the Example of German Wine Estates","2023","Sustainability (Switzerland)","15","5","3880","","","","1","10.3390/su15053880","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149935051&doi=10.3390%2fsu15053880&partnerID=40&md5=1044c6ada29478292afa0c04bc457939","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149935051"
"McAdam M.","McAdam, Maura (17344024600)","17344024600","WOMEN’S ENTREPRENEURSHIP, Second Edition","2022","Women's Entrepreneurship","","","","1","172","171","0","10.4324/9781003127710","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148798240&doi=10.4324%2f9781003127710&partnerID=40&md5=cf50177721c1462874d0a50b13e6f63c","Book","Final","","Scopus","2-s2.0-85148798240"
"Almuqrin A.; Mutambik I.; Alomran A.; Zhang J.Z.","Almuqrin, Abdullah (57212145900); Mutambik, Ibrahim (57204771601); Alomran, Abdulaziz (57221081085); Zhang, Justin Zuopeng (58262864500)","57212145900; 57204771601; 57221081085; 58262864500","Information System Success for Organizational Sustainability: Exploring the Public Institutions in Saudi Arabia","2023","Sustainability (Switzerland)","15","12","9233","","","","1","10.3390/su15129233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164200044&doi=10.3390%2fsu15129233&partnerID=40&md5=f2562bf6a5f54a01804e8042860524ee","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85164200044"
"Savastano M.; Samo A.H.; Channa N.A.; Amendola C.","Savastano, Marco (57189375303); Samo, Altaf Hussain (57280266000); Channa, Nisar Ahmed (57211319819); Amendola, Carlo (55817790700)","57189375303; 57280266000; 57211319819; 55817790700","Toward a Conceptual Framework to Foster Green Entrepreneurship Growth in the Agriculture Industry","2022","Sustainability (Switzerland)","14","7","4089","","","","1","10.3390/su14074089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127948066&doi=10.3390%2fsu14074089&partnerID=40&md5=7d51a88b4b26c00e2df95bd4e9bd2f7f","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85127948066"
"Cinar R.","Cinar, Ridvan (57208937313)","57208937313","Structuration of natural resource-based innovations in universities: How do they get institutionalized?","2020","Sustainability (Switzerland)","12","5","1834","1","19","18","1","10.3390/su12051834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095589726&doi=10.3390%2fsu12051834&partnerID=40&md5=200c1b34a8b6c5c391da5d0ef9e9ccb0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85095589726"
"Newman A.; Macaulay L.; Dunwoodie K.","Newman, Alexander (38862449600); Macaulay, Luke (57215027667); Dunwoodie, Karen (57205206607)","38862449600; 57215027667; 57205206607","Refugee Entrepreneurship: A Systematic Review of Prior Research and Agenda for Future Research","2023","International Migration Review","","","","","","","0","10.1177/01979183231182669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162661122&doi=10.1177%2f01979183231182669&partnerID=40&md5=e9805dce6c04462328b46487bdf35321","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85162661122"
"Zarakol A.","Zarakol, Ayşe (35766969000)","35766969000","Hierarchies in World Politics","2017","Hierarchies in World Politics","","","","1","332","331","67","10.1017/9781108241588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047385010&doi=10.1017%2f9781108241588&partnerID=40&md5=ba2529abdf255d40b7291dbcdc98ed63","Book","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85047385010"
"Waris I.; Barkat W.; Ahmed A.; Hameed I.","Waris, Idrees (57208260456); Barkat, Waseem (57202055152); Ahmed, Adeel (56784904400); Hameed, Irfan (54966064700)","57208260456; 57202055152; 56784904400; 54966064700","Fostering sustainable businesses: understanding sustainability-driven entrepreneurial intention among university students in Pakistan","2022","Social Responsibility Journal","18","8","","1409","1426","17","5","10.1108/SRJ-10-2020-0399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113726954&doi=10.1108%2fSRJ-10-2020-0399&partnerID=40&md5=650e1083fda59f1d6445918d3990dc2e","Article","Final","","Scopus","2-s2.0-85113726954"
"Han X.; Niosi J.","Han, Xue (57139158700); Niosi, Jorge (6602999188)","57139158700; 6602999188","The revolution in energy technology: Innovation and the economics of the solar photovoltaic industry","2018","The Revolution in Energy Technology: Innovation and the Economics of the Solar Photovoltaic Industry","","","","1","148","147","2","10.4337/9781788115667","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072687773&doi=10.4337%2f9781788115667&partnerID=40&md5=41077ec452ba93db56d34bc8fcecffb4","Book","Final","","Scopus","2-s2.0-85072687773"
"Godemann J.; Nguyen B.-N.; Herzig C.","Godemann, Jasmin (55886145400); Nguyen, Bich-Ngoc (58283519600); Herzig, Christian (35565474300)","55886145400; 58283519600; 35565474300","Business schools’ transformation towards sustainability: empirical insights from UN PRME signatories","2023","International Journal of Sustainability in Higher Education","","","","","","","0","10.1108/IJSHE-07-2022-0223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159874097&doi=10.1108%2fIJSHE-07-2022-0223&partnerID=40&md5=bbb844e2de6b5194cf1341e19cf8aa45","Article","Article in press","","Scopus","2-s2.0-85159874097"
